T2_max,T2_WRF_max,T2_min,T2_WRF_min,P_WRF_max,P_WRF_min,U10_WRF_max,U10_WRF_min,V10_WRF_max,V10_WRF_min
17.18,17.872528,11.05,10.425873,1016.66125,1015.2532,3.6930346,0.014609118,-4.553504,-0.33346224
17.58,16.724121,14.03,14.002136,1015.7266,1013.603,3.5540764,0.079289556,5.636436,-0.09751336
16.3,16.77597,10.59,8.938385,1015.78937,1014.48236,2.3710673,0.07153637,4.778349,0.5523191
17.34,16.527435,11.18,10.849335,1018.8577,1014.1281,2.7832758,-0.067962185,2.0011919,0.11171252
17.51,17.427185,8.89,8.695068,1019.8107,1014.6951,2.489505,0.05931326,3.6799386,0.19407521
16.56,15.911285,8.42,9.592926,1014.5036,1009.37036,3.062712,-0.012787018,2.0598671,0.16255717
17.75,17.01593,12.53,10.892578,1011.46893,1008.2367,4.3481164,-0.07875914,-9.232023,-1.2043859
17.15,16.65094,13.88,11.954132,1018.1576,1011.35345,6.309706,-0.26327983,-7.4161825,-2.0854654
17.27,15.201538,9.9,8.279358,1020.49274,1013.0904,2.51528,0.021950895,-2.6229386,-0.30268055
20.53,17.65091,8.77,9.802307,1012.7195,1001.6223,3.8498979,0.04321583,-15.831556,0.1565521
17.37,16.199951,10.54,12.041412,1012.8268,1002.4076,9.946843,2.3607368,-12.091538,0.52960855
14.77,16.03955,11.25,11.4140625,1019.0558,1013.2902,6.672315,1.5581956,-7.121732,0.08592072
15.84,15.438019,12.82,11.771973,1019.1805,1017.54016,3.2832582,-0.037618287,5.5072856,-0.09575869
15.8,16.464264,10.52,9.361206,1018.9226,1016.82635,2.7908373,-0.04300362,5.198732,-0.16549847
14.05,14.0289,7.24,6.965851,1016.9888,1012.52185,2.5126526,0.0040296894,2.7662473,0.26856795
14.86,14.38681,10.57,9.477051,1016.455,1012.6993,3.408405,-0.098820485,4.435496,-0.024861552
14.77,13.955292,9.76,8.028931,1021.81104,1016.3082,2.9340613,-0.11961825,6.068233,-0.22580925
22.25,18.884491,6.64,7.2571106,1022.2937,1017.89404,-8.506725,-1.0686707,4.7245154,0.103225484
17.27,16.155975,8.77,9.825104,1017.85736,1013.0121,-4.6234937,0.01190697,3.200696,-0.0035673813
13.69,14.213715,10.05,7.677307,1013.5906,1010.7678,3.988532,0.21815695,-5.7461905,0.28826243
15.89,16.004486,10.27,8.812195,1020.7073,1010.8039,3.857595,-0.16411497,-6.506548,0.24752647
15.82,17.588165,8.59,9.822052,1021.0366,1017.1128,-4.4386463,0.17169884,3.881905,-0.02861432
17.39,15.313263,9.78,9.346039,1018.92737,1016.6934,3.1477656,-0.17480823,-2.613283,-0.039061427
15.46,14.146576,12.27,10.074066,1018.2793,1010.2468,6.940332,0.01643695,-6.9342484,0.07193922
13.79,13.515961,6.94,7.432251,1021.82874,1018.8635,-4.173029,0.098484986,6.5647264,-0.00092742994
14.79,13.676727,6.15,5.8877563,1023.534,1020.4444,3.404572,-0.2954267,6.636819,0.07495855
15.22,14.923798,7.34,7.4878845,1024.241,1022.70056,-3.2821307,-0.11097311,1.8069096,-0.00685712
16.46,15.352661,7.97,8.991272,1023.0797,1019.105,2.616065,0.16155699,-1.584882,-0.23111814
15.94,15.601013,10.66,10.611938,1019.71014,1016.5228,2.8838563,0.08726539,5.870971,0.15758923
