Index,T2,Time,T2_WRF,P_WRF,U10_WRF,V10_WRF
98,5.62,2020-09-05 02:00:00,4.0728455,1015.9288,-2.7908683,-0.14244567
99,4.87,2020-09-05 03:00:00,4.094635,1016.0909,-2.586712,-1.310991
100,4.74,2020-09-05 04:00:00,4.482666,1016.1866,-2.4019158,-1.8929039
101,4.04,2020-09-05 05:00:00,4.3299255,1016.40466,-1.4022716,-2.036034
102,3.85,2020-09-05 06:00:00,4.5889893,1016.7722,-1.0028749,-2.3083243
103,3.54,2020-09-05 07:00:00,4.4874573,1017.1131,-1.4687555,-2.0103395
104,3.51,2020-09-05 08:00:00,5.006439,1017.40454,-0.97281665,-2.0678148
105,2.98,2020-09-05 09:00:00,5.0687256,1017.6507,-1.1141646,-1.9695297
106,2.66,2020-09-05 10:00:00,5.056549,1017.8925,-1.0540836,-1.9595511
107,2.72,2020-09-05 11:00:00,5.101227,1018.2154,-1.1172959,-1.5330924
108,3.38,2020-09-05 12:00:00,4.913788,1018.5984,-1.4050574,-1.7841759
109,4.38,2020-09-05 13:00:00,7.327484,1019.30255,-0.9073347,-1.1166079
110,6.94,2020-09-05 14:00:00,9.293335,1019.66833,-0.6183509,-0.6726673
111,9.68,2020-09-05 15:00:00,9.961914,1020.1261,0.8550187,0.36341655
112,9.78,2020-09-05 16:00:00,10.026184,1020.4282,1.2829282,0.56076753
113,9.78,2020-09-05 17:00:00,10.581238,1020.86664,1.9752954,0.4998469
114,10.17,2020-09-05 18:00:00,10.7146,1020.96594,2.4258857,0.8445919
115,11.22,2020-09-05 19:00:00,10.599182,1021.31757,2.4125648,0.42125088
116,10.27,2020-09-05 20:00:00,10.322266,1021.8365,2.1576424,-0.1610431
117,10.25,2020-09-05 21:00:00,10.061401,1022.32117,1.3661927,0.028476298
118,10.12,2020-09-05 22:00:00,9.06958,1022.9819,0.77285457,1.7957512
119,8.57,2020-09-05 23:00:00,7.5926514,1023.45044,-0.9636915,-0.5777188
120,7.12,2020-09-06 00:00:00,6.9461975,1023.92804,-1.4146888,-0.5217486
121,6.81,2020-09-06 01:00:00,4.7885437,1025402,-0.898792,-2.1974204
122,6.61,2020-09-06 02:00:00,4.870392,1025677,-0.6709821,-2.2769768
123,5.87,2020-09-06 03:00:00,4.722046,1025.6647,-0.88247424,-2.2384233
124,5.08,2020-09-06 04:00:00,4.7141113,1025.6279,-1.1484247,-2.1108866
125,4.27,2020-09-06 05:00:00,4.6917725,1025.5785,-1.4027034,-1.9486252
126,4.19,2020-09-06 06:00:00,4.7142944,1025.7161,-1.1837747,-1.7922575
127,4.06,2020-09-06 07:00:00,4.5745544,1025371,-1.1818384,-1.7685366
128,3.8,2020-09-06 08:00:00,4.5124817,1025.1527,-1.7237245,-1.4482098
129,3.75,2020-09-06 09:00:00,4.6558228,1024.7401,-1.5609637,-0.78064394
130,3.09,2020-09-06 10:00:00,3.998993,1024.5126,-0.58891904,-2.4321468
