Time,T2,T2_WRF,PP,PP_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-05 02:00:00,10.17,9.37619,0,0.24385071,1003.59106,3.358574,-2.5063598
2018-08-05 03:00:00,10.44,9.016052,0,0.016677856,1002.66095,2.5564268,-2.9001787
2018-08-05 04:00:00,10.49,8.72522,0,0,1002.1102,3.4891255,-2.6214075
2018-08-05 05:00:00,9.98,8.557953,0,0,1002.43585,3.083473,-2.2446907
2018-08-05 06:00:00,10,8.583649,0,0.0019226074,1002.70703,2.172135,-1.1238765
2018-08-05 07:00:00,10.22,8.460602,0,0.0005645752,1003.29065,1.6701505,-2.1169677
2018-08-05 08:00:00,10.05,8.544159,0,4.5776367e-05,1003.58203,1.2859414,-2.3068454
2018-08-05 09:00:00,9.83,8.854553,0.199999999999999,0.010070801,1003.70087,2.8577883,-3.5191627
2018-08-05 10:00:00,9.83,8.9288025,0,0.0014648438,1003.907,3.4409113,-4.192022
2018-08-05 11:00:00,9.71,8.798737,0,0,1004.28546,3.3348243,-4.451104
2018-08-05 12:00:00,9.53,8.772034,0,0.41323853,1004.47595,2.8561609,-4.2222495
2018-08-05 13:00:00,9.36,8.958496,0,0.20111084,1004.76135,2.5169613,-3.9585323
2018-08-05 14:00:00,9.61,9.075836,0,0.122024536,1004.9367,2.919498,-3.6564074
2018-08-05 15:00:00,9.76,9.159241,0,0.29212952,1004.94476,3.1310298,-3.078374
2018-08-05 16:00:00,10.1,9.504028,0,0.1516571,1005.1023,2.9674556,-3.2615461
2018-08-05 17:00:00,10.52,9.206757,0,0.48251343,1005.3286,3.819513,-3.3647985
2018-08-05 18:00:00,10.64,8.972137,0,0.1288147,1005.60126,2.820539,-3.400951
2018-08-05 19:00:00,10.08,8.898682,0,0.012908936,1005.82947,2.5621114,-3.7851775
2018-08-05 20:00:00,9.29,8.616638,0,0.001373291,1005.9539,2.551292,-3.7554927
2018-08-05 21:00:00,8.84,8.503693,0,0.0035858154,1006.15186,2.1441574,-3.2427735
2018-08-05 22:00:00,8.92,8.664276,0,0.016098022,1006.2685,2.4109106,-3.060407
2018-08-05 23:00:00,9.01,8.099487,0,0.011581421,1006.4367,2.0912113,-3.3544743
2018-08-06 00:00:00,9.24,7.641815,0,0.008850098,1006.5681,1.8037819,-3.3456059
2018-08-06 01:00:00,8.99,7.6185303,0,0.004547119,1005.86224,1.6591763,-3.3120446
2018-08-06 02:00:00,8.87,7.5559387,0,0,1004.9981,1.3186226,-3.311173
2018-08-06 03:00:00,8.82,7.1999817,0,0,1005.0748,1.9839767,-2.2584646
