Time,T2,T2_WRF,PP_WRF,P_WRF,U10_WRF,V10_WRF
2018-08-05 10:00:00,9.206,8.938324,0.015289307,1008.61804,1.9461938,-5.54382
2018-08-05 11:00:00,10.099,8.84494,0.016059875,1008.9153,1.5139295,-4.4666147
2018-08-05 12:00:00,10.008,8.874939,0.17810822,1009.0773,1.5119017,-4.4740877
2018-08-05 13:00:00,10.087,9.150818,6.1035156e-05,1009.4648,1.6754376,-5.529296
2018-08-05 14:00:00,10.315,9.875183,0,1009.68024,1.4261806,-6.0246143
2018-08-05 15:00:00,10.576,10.503235,0,1009.6574,1.2693465,-5.560691
2018-08-05 16:00:00,10.804,9.980133,0.00036621094,1009.7628,1.9053859,-6.0382543
2018-08-05 17:00:00,10.593,10.002289,0,1009.90045,0.9555071,-6.474151
2018-08-05 18:00:00,10.582,10.244385,0,1009.8693,2.1747031,-6.2479386
2018-08-05 19:00:00,10.889,10.893433,0,1009.88055,0.6028497,-5.490122
2018-08-05 20:00:00,10.792,10.821228,0,1009.86053,1.5650061,-4.981201
2018-08-05 21:00:00,10.394,10.230774,0,1009.8706,0.5216574,-4.0448713
2018-08-05 22:00:00,10.303,9.090973,0,1009.91833,-0.8327179,-3.856628
2018-08-05 23:00:00,10.497,8.845947,0.008392334,1009.96643,-0.9600272,-4.0041137
2018-08-06 00:00:00,10.406,8.762543,0.004425049,1009.9687,0.022723885,-3.5302656
2018-08-06 01:00:00,10.32,8.744324,0,1009.169,0.076328635,-3.5864944
2018-08-06 02:00:00,10.093,8.848724,0,1007.99615,-0.59878814,-3.4038486
2018-08-06 03:00:00,10.008,8.754974,0,1008.3164,-0.8194116,-4.9837875
2018-08-06 04:00:00,10.104,8.923492,3.8146973e-05,1007.84717,-1.6899031,-4.7589226
2018-08-06 05:00:00,9.917,9.075073,0.069381714,1007.3848,-0.8744295,-3.5213742
2018-08-06 06:00:00,9.462,9.122437,0.21661377,1006.9082,-1.306282,-5.405865
2018-08-06 07:00:00,8.859,8.695557,0.08129883,1006.5075,-2.0099738,-5.4512115
2018-08-06 08:00:00,8.836,8.541779,0.00039672852,1006.2442,-1.6370139,-4.798452
2018-08-06 09:00:00,8.62,8.597809,0,1005.70404,-1.4151034,-3.507344
2018-08-06 10:00:00,7.818,8.608856,0.0019989014,1005.3457,-0.94228274,-2.7093117
2018-08-06 11:00:00,7.818,8.577423,0.0015487671,1005.06085,-0.31945425,-2.2182016
2018-08-06 12:00:00,7.767,8.461517,0.00074768066,1004.67194,0.23611102,-1.258442
2018-08-06 13:00:00,7.755,8.426331,0.00019836426,1004.7706,1.2819265,-1.1552682
2018-08-06 14:00:00,7.607,8.333527,0.00036621094,1004.6202,0.30619693,-0.9488659
2018-08-06 15:00:00,7.841,8.718079,0,1005.019,1.207201,-1.7288058
2018-08-06 16:00:00,7.932,8.547974,0.6370163,1005.4066,2.5695653,-1.2409507
2018-08-06 17:00:00,8.188,8.490234,0.8541641,1005.72705,2.816802,-0.39363706
2018-08-06 18:00:00,8.171,8.311035,0.42787933,1006.1085,1.3907073,6.7510614
2018-08-06 19:00:00,8.136,7.9427185,0.00031280518,1006.5552,1.2165583,5.745166
2018-08-06 20:00:00,8.307,7.920227,0,1007.4292,1.5543152,3.6052384
2018-08-06 21:00:00,8.119,7.668335,0,1008.2204,1.4249169,3.7485285
2018-08-06 22:00:00,7.88,7.247772,0,1009.0218,1.9086484,2.5132937
2018-08-06 23:00:00,7.659,7.025116,0,1010.1102,1.319452,2.4949296
2018-08-07 00:00:00,7.448,6.452118,0,1011.01135,1.3794365,0.87323236
2018-08-07 01:00:00,7.164,6.012329,0,1011.46515,1.1990563,0.7315742
2018-08-07 02:00:00,7.073,6.198456,0,1010.7149,1.8349053,2.3187127
2018-08-07 03:00:00,7.067,6.254425,0,1012.4489,2.5692108,2.8510225
2018-08-07 04:00:00,6.976,5.709442,0,1012.7204,2.321018,1.846264
2018-08-07 05:00:00,6.845,5.089966,0,1013.3081,2.7093177,1.2051535
2018-08-07 06:00:00,6.76,4.8824463,0,1013.5036,3.2793527,0.6015237
2018-08-07 07:00:00,6.76,4.625763,0,1014.8553,2.395723,0.20260237
2018-08-07 08:00:00,6.476,4.1611633,0,1016.1326,1.9839423,0.4381101
2018-08-07 09:00:00,5.674,3.8707275,0,1017.2139,1.819201,0.2420672
2018-08-07 10:00:00,5.19,3.743164,0.0033340454,1017.8589,1.7677721,-0.49814594
2018-08-07 11:00:00,4.792,3.643158,0.0005493164,1018.4995,2.0291317,-0.67596585
2018-08-07 12:00:00,4.741,4.122162,1.5258789e-05,1019.24664,2.3633926,-0.86510473
2018-08-07 13:00:00,6.965,5.076935,0,1020.4727,1.8054917,-1.7731985
2018-08-07 14:00:00,8.381,7.0648193,0,1021.464,1.4029217,-2.512787
2018-08-07 15:00:00,8.83,8.18808,0,1022.29694,1.8051901,-3.2244961
2018-08-07 16:00:00,9.405,8.951569,0,1022.8493,0.7599039,-3.7731602
